Track,Title,Date,Start Time,End Time,Location,Description,People ID's,
Tournaments,AGA Girls Cup Round 3,7/26/2018,3:00 PM,6:00 PM,Tidewater A,"The AGA Girls Cup is the premier tournament for young female players (U16) across North America. Entrants determined in Spring preliminary events. The Finals will be broadcast live on KGS. Justin Teng, Tournament Director.",,
Tournaments,Seniors Round 1,7/22/2018,1:00 PM,3:00 PM,Chesapeake B,"Open to players 55 and older. Greg Kulevich, Tournament Director.",,
Tournaments,Seniors Round 2,7/23/2018,1:00 PM,3:00 PM,Chesapeake B,"Open to players 55 and older. Greg Kulevich, Tournament Director.",,
Tournaments,Seniors Round 3,7/24/2018,1:00 PM,3:00 PM,Chesapeake B,"Open to players 55 and older. Greg Kulevich, Tournament Director.",,
Tournaments,Seniors Round 4,7/26/2018,1:00 PM,3:00 PM,Chesapeake B,"Open to players 55 and older. Greg Kulevich, Tournament Director.",,
Tournaments,Seniors Round 5,7/27/2018,1:00 PM,3:00 PM,Chesapeake B,"Open to players 55 and older. Greg Kulevich, Tournament Director.",,
Tournaments,Womens Round 1,7/22/2018,3:00 PM,5:00 PM,Chesapeake B,"Lisa Scott, Tournament Director. Open to all women. ",,
Tournaments,Womens Round 2,7/23/2018,3:00 PM,5:00 PM,Chesapeake B,"Lisa Scott, Tournament Director. Open to all women. ",,
Tournaments,Womens Round 3,7/26/2018,3:00 PM,5:00 PM,Chesapeake B,"Lisa Scott, Tournament Director. Open to all women. ",,
Tournaments,Womens Round 4,7/27/2018,3:00 PM,5:00 PM,Chesapeake B,"Lisa Scott, Tournament Director. Open to all women. ",,
Tournaments,City League Finals,7/21/2018,3:00 PM,6:00 PM,Tidewater A,"Steve Colburn, Tournament Director. 
The Pandanet-AGA City League has been run for the last two years with players from all over the US and Canada. They have formed teams around cities and played on IGS to see who is the strongest city. This tournament has players from 1p to 13k within the three leagues. Full tournament information, players, and game records can be found on the Pandanet City League website. http://pandanet-igs.com/communities/agacityleague.html",,
Kyu Lectures,"Basics of thinking, but basic is difficult! Session 1",7/22/2018,1:00 PM,2:50 PM,Classroom C,,"1011,2238","Ryo Maeda (6P), R Dolen"
Kyu Lectures,"Basics of thinking, but basic is difficult! Session 2",7/23/2018,1:00 PM,2:50 PM,Classroom C,,"1011,2238","Ryo Maeda (6P), R Dolen"
Kyu Lectures,Learning many kinds of endgame (Kyu level),7/24/2018,4:00 PM,4:50 PM,Classroom C,,1003,Yoonyoung Kim
Dan Lectures,Learning many kinds of endgame (Dan level),7/27/2018,4:00 PM,4:50 PM,Classroom A,,1003,Yoonyoung Kim
Kyu Lectures,"Basics of thinking, but basic is difficult! Session 3",7/24/2018,1:00 PM,2:50 PM,Classroom C,,"1011,2238","Ryo Maeda (6P), R Dolen"
Kyu Lectures,Make light haengma (Kyu level),7/24/2018,3:00 PM,3:50 PM,Classroom C,,1003,Yoonyoung Kim
Dan Lectures,Make light haengma (Dan level),7/27/2018,3:00 PM,3:50 PM,Classroom A,,1003,Yoonyoung Kim
Kyu Lectures,"Basics of thinking, but basic is difficult! Session 4",7/26/2018,1:00 PM,2:50 PM,Classroom C,,"1011,2238","Ryo Maeda (6P), R Dolen"
Kyu Lectures,"Basics of thinking, but basic is difficult! Session 5",7/27/2018,1:00 PM,2:50 PM,Classroom C,,"1011,2238","Ryo Maeda (6P), R Dolen"
Kyu Lectures,How to think through a Go game (20 kyu and up),7/27/2018,3:00 PM,4:50 PM,Classroom C,,1008,Ryan Li (1P)
Kyu Lectures,"Basics of thinking, but basic is difficult! Session 6",7/28/2018,1:00 PM,2:50 PM,Classroom C,,"1011,2238","Ryo Maeda (6P), R Dolen"
Dan Lectures,Post Joseki's offense & defense (5 Kyu and above),7/23/2018,1:00 PM,2:50 PM,Classroom A,,1009,Mingjiu Jiang (7P)
Dan Lectures,AI Opening Developments (5K and above),7/24/2018,3:00 PM,4:50 PM,Classroom A,,1004,Eric Lui (1P)
Dan Lectures,Sabaki during the Fuseki's stage (5K and above),7/26/2018,1:00 PM,2:50 PM,Classroom A,,1009,Mingjiu Jiang (7P)
Dan Lectures,Dealing with Joseki Variations (Dan level),7/22/2018,3:00 PM,3:50 PM,Classroom A,,1003,Yoonyoung Kim
Dan Lectures,Dealing with Joseki Variations (High Dan level),7/22/2018,4:00 PM,4:50 PM,Classroom A,,1003,Yoonyoung Kim
Dan Lectures,Review of a Famous Pro Game (5 Kyu and up),7/26/2018,3:00 PM,4:50 PM,Classroom A,,2011,Yuan Zhou
General Lectures,How to choose the direction? (All levels),7/23/2018,3:00 PM,4:50 PM,Classroom C,,1001,Yilun Yang (7P)
General Lectures,The rising era of computer Go - what is a Joseki? (10 Kyu and up),7/22/2018,1:00 PM,2:50 PM,Tidewater B,,1008,Ryan Li (1P)
General Lectures,Still Must Know Josekis (all levels),7/22/2018,3:00 PM,3:50 PM,Tidewater B,,1002,Stephanie Yin (1P)
General Lectures,Mistakes in Josekis (all levels) ,7/22/2018,4:00 PM,4:50 PM,Tidewater B,,1002,Stephanie Yin (1P)
General Lectures,New Go Proverbs - Opening,7/23/2018,3:00 PM,4:50 PM,Tidewater B,,2027,In-seong Hwang
General Lectures,New Go Proverbs - Middle Game,7/26/2018,3:00 PM,4:50 PM,Tidewater B,,2027,In-seong Hwang
General Lectures,Secret Weapon: Must Know Life & Death Shapes (all levels),7/24/2018,1:00 PM,1:50 PM,Tidewater B,,1002,Stephanie Yin (1P)
General Lectures,Secret Weapon: Must Know Tesuji (all levels),7/24/2018,2:00 PM,2:50 PM,Tidewater B,,1002,Stephanie Yin (1P)
General Lectures,Let's get the Go-Avengers,7/27/2018,3:00 PM,4:50 PM,Tidewater B,,2027,In-seong Hwang
